,state,comid,agro_processing,milling_facility,feed_mill,corn_husker,cocoa_mill,palm_oil_mill,rice_husker,crop_processing_facility,electricity_available,land_degradation_pct,increase_land_degradation,abandoned_farm_pct,land_issue_soil_erosion,land_issue_poor_roads,land_issue_other,produce_transport_method,extension_services_present,storage_facility_available,challenge_crop_diseases,challenge_animal_damage,sales_difficulties,poor_transport,main_crop_planted
19,BENUE,COM0010353,Yes,No,No,No,No,No,Yes,Yes,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,Yes,Yes,
20,BENUE,COM0005939,Yes,No,No,Yes,No,Yes,Yes,No,No,26%-50%,Staying the same,51%-75%,0.0,0.0,1.0,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,"YAM, WHITE"
21,NASARAWA,COM0023070,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,1%-25%,Increasing,1%-25%,3.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,Yes,No,Yes,MAIZE
22,KOGI,COM0003109,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,Yes,CASSAVA
23,BENUE,COM0003839,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Car/Van,No,No,Yes,No,No,Yes,CASSAVA
24,KWARA,COM0010437,Yes,Yes,No,Yes,No,No,Yes,No,Yes,1%-25%,Staying the same,None (0%),,,,Tricycle/Motorcycle,Yes,No,No,Yes,No,Yes,MAIZE
25,BENUE,COM0011281,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,Yes,Yes,CASSAVA
26,NIGER,COM0011710,Yes,No,No,Yes,No,No,Yes,No,Yes,1%-25%,Increasing,1%-25%,0.0,0.0,1.0,Tricycle/Motorcycle,No,No,No,Yes,No,Yes,MAIZE
27,NASARAWA,COM0016262,Yes,No,No,No,No,No,Yes,No,No,1%-25%,Increasing,1%-25%,0.0,0.0,0.0,Car/Van,No,No,Yes,No,Yes,No,BEENI-SEED/SESAME
28,KOGI,COM0011823,Yes,Yes,No,No,No,Yes,No,Yes,No,76%-100%,Decreasing,76%-100%,2.0,0.0,3.0,Foot,No,No,Yes,No,No,Yes,"YAM, WHITE"
29,NASARAWA,COM0026046,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,
30,BENUE,COM0013863,No,No,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Foot,No,No,No,Yes,Yes,No,
31,PLATEAU,COM0001943,No,,,,,,,,No,26%-50%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,"YAM, WHITE"
32,KWARA,COM0010943,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,Yes,CASHEW
33,KOGI,COM0009802,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,CASSAVA
34,NIGER,COM0000002,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,Yes,
35,NIGER,COM0004205,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,None (0%),,1%-25%,0.0,0.0,2.0,Car/Van,Yes,No,Yes,Yes,No,Yes,MAIZE
36,PLATEAU,COM0015227,Yes,Yes,No,Yes,No,No,Yes,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,Yes,Yes,MAIZE
37,KOGI,COM0017912,No,No,No,No,No,No,No,No,Yes,None (0%),,1%-25%,0.0,1.0,0.0,Car/Van,No,Yes,Yes,No,No,Yes,CASSAVA
38,KWARA,COM0024825,Yes,No,No,No,No,No,No,Yes,Yes,None (0%),,None (0%),,,,Car/Van,No,No,Yes,Yes,Yes,Yes,MAIZE
39,PLATEAU,COM0014284,No,,,,,,,,Yes,51%-75%,Increasing,None (0%),,,,Foot,No,No,Yes,No,No,No,MAIZE
40,BENUE,COM0026128,Yes,No,No,No,No,Yes,No,Yes,No,26%-50%,Decreasing,None (0%),,,,Foot,No,Yes,No,No,Yes,Yes,"YAM, WHITE"
41,FCT,COM0026309,Yes,No,No,No,No,No,No,No,No,51%-75%,Increasing,None (0%),,,,Car/Van,No,Yes,Yes,No,Yes,Yes,MAIZE
42,NASARAWA,COM0017668,No,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Foot,No,No,No,No,No,No,
43,KWARA,COM0001224,Yes,No,No,No,No,No,No,No,Yes,1%-25%,Decreasing,1%-25%,0.0,0.0,3.0,Tricycle/Motorcycle,No,No,No,No,No,No,CASSAVA
44,FCT,COM0000104,No,,,,,,,,No,None (0%),,1%-25%,0.0,3.0,0.0,Car/Van,No,No,No,No,No,No,MAIZE
45,KWARA,COM0025144,No,,,,,,,,Yes,1%-25%,Increasing,None (0%),,,,Tricycle/Motorcycle,Yes,No,Yes,Yes,No,Yes,MAIZE
46,BENUE,COM0013958,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,
47,NASARAWA,COM0020485,Yes,No,No,No,No,No,No,No,No,26%-50%,Increasing,1%-25%,2.0,3.0,0.0,Tricycle/Motorcycle,No,No,No,Yes,No,Yes,BEENI-SEED/SESAME
48,KOGI,COM0022566,Yes,No,No,No,No,Yes,No,No,Yes,51%-75%,Increasing,1%-25%,0.0,0.0,3.0,Tricycle/Motorcycle,Yes,No,Yes,Yes,Yes,Yes,MAIZE
49,PLATEAU,COM0001542,Yes,No,No,Yes,No,No,No,Yes,Yes,26%-50%,Increasing,26%-50%,3.0,2.0,0.0,Car/Van,Yes,Yes,Yes,No,Yes,Yes,MAIZE
50,NIGER,COM0014842,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Foot,No,No,No,No,No,No,
51,KWARA,COM0010903,Yes,Yes,No,No,No,No,No,Yes,No,1%-25%,Decreasing,1%-25%,0.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,Yes,No,No,"YAM, THREE LEAVED"
52,NIGER,COM0011869,No,,,,,,,,No,1%-25%,Increasing,1%-25%,2.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,No,No,No,MAIZE
53,BENUE,COM0026147,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,
54,KOGI,COM0001826,Yes,No,No,No,No,No,No,No,Yes,26%-50%,Increasing,1%-25%,0.0,0.0,0.0,Foot,No,No,Yes,Yes,No,No,CASSAVA
55,NASARAWA,COM0016738,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Foot,No,No,No,Yes,No,No,GUINEA CORN (SORGHUM)
56,KWARA,COM0009269,No,,,,,,,,No,1%-25%,Increasing,1%-25%,0.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,Yes,No,Yes,GUINEA CORN (SORGHUM)
57,BENUE,COM0000257,No,No,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,Yes,Yes,No,No,Yes,
58,PLATEAU,COM0002697,Yes,No,No,Yes,No,Yes,Yes,No,Yes,26%-50%,Decreasing,1%-25%,0.0,1.0,0.0,Car/Van,Yes,Yes,Yes,Yes,Yes,Yes,MAIZE
59,KWARA,COM0001848,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,MAIZE
60,NIGER,COM0008339,Yes,No,No,No,No,No,No,No,No,None (0%),,1%-25%,0.0,2.0,3.0,Tricycle/Motorcycle,No,No,Yes,No,No,Yes,MAIZE
61,NASARAWA,COM0021307,Yes,Yes,No,Yes,No,No,Yes,No,Yes,None (0%),,None (0%),,,,Foot,Yes,Yes,No,Yes,Yes,Yes,MAIZE
62,KWARA,COM0003604,Yes,No,No,Yes,No,No,No,Yes,Yes,None (0%),,None (0%),,,,Foot,No,No,Yes,Yes,No,No,CASHEW
63,NIGER,COM0015580,Yes,No,No,No,No,No,No,No,No,None (0%),,26%-50%,3.0,2.0,0.0,Car/Van,No,No,Yes,No,No,No,MAIZE
64,BENUE,COM0013702,Yes,Yes,No,No,No,No,Yes,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,"YAM, WHITE"
65,KWARA,COM0010297,Yes,Yes,No,No,No,No,No,No,Yes,51%-75%,Staying the same,None (0%),,,,Foot,No,No,No,Yes,Yes,Yes,GUINEA CORN (SORGHUM)
66,KOGI,COM0013690,Yes,Yes,No,No,No,No,No,Yes,Yes,1%-25%,Staying the same,None (0%),,,,Car/Van,No,No,Yes,Yes,No,Yes,
67,BENUE,COM0006658,No,,,,,,,,No,51%-75%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,Yes,Yes,"YAM, WHITE"
68,NIGER,COM0016381,Yes,No,No,No,No,No,No,No,No,1%-25%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,Yes,"YAM, WHITE"
69,FCT,COM0003683,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,
70,PLATEAU,COM0024227,Yes,Yes,No,No,No,No,No,No,No,1%-25%,Increasing,1%-25%,3.0,2.0,0.0,Foot,No,No,No,No,No,No,MAIZE
71,BENUE,COM0007669,Yes,Yes,No,No,No,No,No,No,Yes,51%-75%,Decreasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,No,"YAM, WHITE"
72,BENUE,COM0016663,Yes,Yes,No,No,No,No,No,Yes,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,Yes,Yes,"YAM, WHITE"
73,NASARAWA,COM0016470,No,,,,,,,,No,51%-75%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,No,
74,FCT,COM0025012,Yes,No,No,Yes,No,No,Yes,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,Yes,No,No,No,No,No,MAIZE
75,BENUE,COM0026458,Yes,No,No,Yes,No,No,No,No,No,26%-50%,Decreasing,26%-50%,0.0,3.0,2.0,Tricycle/Motorcycle,No,No,Yes,No,Yes,Yes,"YAM, WHITE"
76,NIGER,COM0015517,No,,,,,,,,No,1%-25%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,Yes,"YAM, WHITE"
77,BENUE,COM0005103,Yes,No,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,Yes,"YAM, WHITE"
78,NASARAWA,COM0025740,No,,,,,,,,No,26%-50%,Increasing,1%-25%,2.0,0.0,0.0,Tricycle/Motorcycle,No,Yes,Yes,Yes,Yes,Yes,RICE
79,KOGI,COM0000079,Yes,No,No,No,No,Yes,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,No,CASSAVA
80,NASARAWA,COM0003734,Yes,Yes,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,Yes,No,Yes,No,No,Yes,MAIZE
81,KWARA,COM0001180,Yes,No,No,No,No,No,No,No,Yes,1%-25%,Decreasing,1%-25%,0.0,0.0,0.0,Tricycle/Motorcycle,No,No,No,Yes,No,No,MAIZE
82,KOGI,COM0007872,No,,,,,,,,Yes,1%-25%,Staying the same,1%-25%,0.0,1.0,0.0,Car/Van,No,No,No,No,Yes,Yes,"YAM, WHITE"
83,BENUE,COM0009661,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,Yes,Yes,
84,PLATEAU,COM0006311,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,Yes,MAIZE
85,NIGER,COM0023036,Yes,No,No,No,No,No,No,No,Yes,1%-25%,Increasing,1%-25%,2.0,0.0,3.0,Tricycle/Motorcycle,No,No,No,No,No,No,MAIZE
86,NASARAWA,COM0024233,Yes,No,No,Yes,No,No,Yes,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,Yes,Yes,MAIZE
87,PLATEAU,COM0006919,No,,,,,,,,No,None (0%),,None (0%),,,,Car/Van,Yes,Yes,Yes,No,Yes,Yes,MAIZE
88,KOGI,COM0009706,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,Yes,Yes,Yes,No,No,
89,BENUE,COM0008138,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,"YAM, WHITE"
90,KOGI,COM0002896,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,Yes,No,No,CASSAVA
91,PLATEAU,COM0009254,Yes,Yes,No,Yes,No,No,Yes,No,Yes,51%-75%,Staying the same,None (0%),,,,Foot,No,No,Yes,No,Yes,Yes,MAIZE
92,NASARAWA,COM0021526,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,1%-25%,Increasing,None (0%),,,,Car/Van,No,No,No,No,No,No,
93,KWARA,COM0000901,Yes,Yes,No,No,No,No,No,No,Yes,1%-25%,Staying the same,None (0%),,,,Foot,No,No,Yes,No,No,Yes,MAIZE
94,KOGI,COM0019155,Yes,No,No,No,No,No,No,No,No,26%-50%,Decreasing,26%-50%,0.0,0.0,1.0,Foot,No,No,No,No,Yes,No,
95,NASARAWA,COM0025068,No,,,,,,,,Yes,1%-25%,Staying the same,1%-25%,0.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,Yes,No,Yes,MAIZE
96,KOGI,COM0003765,Yes,No,No,No,No,No,No,No,Yes,1%-25%,Increasing,1%-25%,1.0,3.0,0.0,Car/Van,No,No,Yes,Yes,Yes,Yes,CASSAVA
97,KOGI,COM0014232,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,Yes,
98,NASARAWA,COM0023518,Yes,No,No,No,No,Yes,Yes,No,Yes,26%-50%,Increasing,51%-75%,3.0,2.0,0.0,Foot,No,Yes,Yes,No,No,No,CASSAVA
99,PLATEAU,COM0001652,Yes,Yes,No,No,No,No,No,No,Yes,1%-25%,Increasing,1%-25%,0.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,MAIZE
100,FCT,COM0010618,Yes,No,No,Yes,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,Yes,
101,NASARAWA,COM0021988,Yes,No,No,No,No,No,No,No,No,1%-25%,Staying the same,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,Yes,MAIZE
102,KWARA,COM0020110,Yes,No,No,No,No,No,Yes,No,Yes,1%-25%,Staying the same,26%-50%,0.0,0.0,3.0,Tricycle/Motorcycle,No,No,No,Yes,No,No,CASSAVA
103,BENUE,COM0013199,Yes,Yes,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Foot,No,Yes,No,No,No,No,BEANS/COWPEA
104,BENUE,COM0014282,Yes,No,No,No,No,No,No,No,No,1%-25%,Decreasing,1%-25%,0.0,0.0,0.0,Foot,No,No,Yes,No,No,No,
105,NASARAWA,COM0020949,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,26%-50%,Decreasing,None (0%),,,,Bicycle,No,No,Yes,Yes,No,No,BEENI-SEED/SESAME
106,NASARAWA,COM0004841,No,,,,,,,,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,Yes,Yes,
107,KOGI,COM0009247,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,26%-50%,Decreasing,51%-75%,0.0,0.0,0.0,Tricycle/Motorcycle,No,Yes,No,No,No,Yes,CASSAVA
108,KOGI,COM0013940,Yes,Yes,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,Yes,Yes,CASSAVA
109,NASARAWA,COM0004761,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,Yes,No,MAIZE
110,FCT,COM0022286,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,Yes,No,No,No,No,No,MAIZE
111,KWARA,COM0000026,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,Yes,MAIZE
112,NIGER,COM0025088,No,,,,,,,,Yes,1%-25%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,Yes,
113,KOGI,COM0014485,No,,,,,,,,No,51%-75%,Increasing,51%-75%,0.0,0.0,3.0,Car/Van,No,No,Yes,Yes,Yes,Yes,CASSAVA
114,NASARAWA,COM0026407,No,,,,,,,,No,26%-50%,Decreasing,51%-75%,3.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,MAIZE
115,NIGER,COM0023923,Yes,Yes,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,
116,NASARAWA,COM0026086,Yes,No,No,Yes,No,No,Yes,No,No,26%-50%,Decreasing,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,Yes,Yes,MAIZE
117,KWARA,COM0022683,No,,,,,,,,Yes,1%-25%,Decreasing,1%-25%,2.0,0.0,0.0,Tricycle/Motorcycle,No,No,No,No,No,Yes,MAIZE
118,NIGER,COM0002214,No,,,,,,,,Yes,None (0%),,None (0%),,,,Car/Van,No,Yes,Yes,Yes,No,Yes,MAIZE
119,FCT,COM0013032,Yes,No,No,Yes,No,No,Yes,Yes,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,Yes,No,No,No,No,MAIZE
120,FCT,COM0008649,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,Yes,No,MAIZE
121,BENUE,COM0003424,Yes,Yes,No,Yes,No,No,Yes,No,No,1%-25%,Decreasing,None (0%),,,,Foot,No,No,Yes,Yes,Yes,Yes,"YAM, WHITE"
122,KWARA,COM0025174,Yes,Yes,No,Yes,No,No,Yes,No,Yes,1%-25%,Decreasing,51%-75%,0.0,2.0,1.0,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,No,"YAM, WHITE"
123,PLATEAU,COM0012351,No,,,,,,,,Yes,None (0%),,None (0%),,,,Car/Van,No,No,,,,,MAIZE
124,BENUE,COM0002506,Yes,No,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,
125,KOGI,COM0022700,Yes,No,No,No,No,No,No,No,Yes,None (0%),,None (0%),,,,Foot,No,Yes,Yes,No,No,No,CASSAVA
126,BENUE,COM0017544,No,,,,,,,,Yes,1%-25%,Increasing,None (0%),,,,Foot,No,No,Yes,No,No,No,GUINEA CORN (SORGHUM)
127,KOGI,COM0006676,Yes,Yes,No,No,No,Yes,No,Yes,No,76%-100%,Decreasing,76%-100%,1.0,2.0,3.0,Foot,Yes,No,Yes,No,Yes,Yes,"YAM, WHITE"
128,NASARAWA,COM0013495,Yes,Yes,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,Yes,
129,BENUE,COM0003164,Yes,No,No,Yes,No,No,No,No,Yes,None (0%),,1%-25%,0.0,0.0,0.0,Bicycle,No,No,No,Yes,No,No,CASSAVA
130,KWARA,COM0022343,Yes,No,No,No,No,No,No,No,Yes,51%-75%,Staying the same,51%-75%,1.0,3.0,0.0,Tricycle/Motorcycle,No,No,Yes,No,No,Yes,
131,PLATEAU,COM0025891,No,,,,,,,,No,1%-25%,Decreasing,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,ACHA
132,NIGER,COM0014070,Yes,No,No,No,No,No,No,Yes,Yes,26%-50%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,No,MAIZE
133,NASARAWA,COM0007190,No,,,,,,,,No,26%-50%,Increasing,26%-50%,0.0,0.0,3.0,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,CASSAVA
134,BENUE,COM0010124,Yes,Yes,No,No,No,No,No,No,No,None (0%),,None (0%),,,,Car/Van,No,No,No,No,Yes,Yes,GROUND NUT/PEANUTS
135,FCT,COM0009097,Yes,Yes,No,Yes,No,No,Yes,No,No,51%-75%,Increasing,None (0%),,,,Car/Van,No,Yes,Yes,Yes,No,Yes,RICE
136,BENUE,COM0010933,Yes,Yes,No,No,No,Yes,No,Yes,No,26%-50%,Increasing,None (0%),,,,Foot,No,No,Yes,Yes,Yes,Yes,"YAM, WHITE"
137,KOGI,COM0000449,Yes,No,No,No,No,No,No,Yes,Yes,26%-50%,Staying the same,51%-75%,0.0,3.0,0.0,Tricycle/Motorcycle,No,No,No,No,Yes,Yes,CASSAVA
138,KOGI,COM0007514,No,,,,,,,,Yes,None (0%),,None (0%),,,,Car/Van,No,No,No,Yes,No,No,MAIZE
139,BENUE,COM0025224,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,Yes,CASSAVA
140,NIGER,COM0007034,No,,,,,,,,No,26%-50%,Decreasing,26%-50%,0.0,2.0,0.0,Foot,No,No,No,No,Yes,No,MAIZE
141,NASARAWA,COM0016306,Yes,Yes,No,No,No,No,No,No,No,1%-25%,Increasing,1%-25%,2.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,MAIZE
142,KOGI,COM0019915,Yes,No,No,No,No,Yes,No,No,No,51%-75%,Increasing,1%-25%,0.0,3.0,0.0,Foot,No,No,Yes,Yes,Yes,Yes,CASSAVA
143,KOGI,COM0024688,Yes,No,No,No,No,No,No,No,No,1%-25%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,GUINEA CORN (SORGHUM)
144,BENUE,COM0009523,Yes,Yes,No,No,No,No,No,No,Yes,1%-25%,Increasing,1%-25%,1.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,No,No,Yes,CASSAVA
145,BENUE,COM0013960,Yes,No,No,Yes,No,Yes,No,No,Yes,1%-25%,Staying the same,26%-50%,0.0,0.0,0.0,Tricycle/Motorcycle,No,No,Yes,Yes,Yes,Yes,CASSAVA
146,PLATEAU,COM0009146,No,,,,,,,,No,26%-50%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,No,Yes,GUINEA CORN (SORGHUM)
147,BENUE,COM0007384,Yes,Yes,Yes,No,No,Yes,No,Yes,No,26%-50%,Increasing,None (0%),,,,Foot,No,No,Yes,Yes,Yes,Yes,CASSAVA
148,NASARAWA,COM0006711,Yes,No,No,Yes,No,No,Yes,Yes,Yes,26%-50%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,Yes,No,Yes,BEENI-SEED/SESAME
149,NASARAWA,COM0011772,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,Yes,No,Yes,Yes,MAIZE
150,KOGI,COM0001375,Yes,No,No,No,No,No,No,No,No,1%-25%,Increasing,1%-25%,0.0,2.0,3.0,Foot,No,No,Yes,Yes,Yes,Yes,"YAM, WHITE"
151,PLATEAU,COM0016589,Yes,No,No,Yes,No,No,No,No,Yes,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,Yes,No,MAIZE
152,BENUE,COM0011511,Yes,No,No,No,No,No,No,No,No,1%-25%,Staying the same,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,Yes,RICE
153,PLATEAU,COM0013239,Yes,No,No,Yes,No,No,No,No,No,1%-25%,Increasing,None (0%),,,,Tricycle/Motorcycle,No,Yes,Yes,No,No,No,BEANS/COWPEA
154,KOGI,COM0020405,No,,,,,,,,No,None (0%),,None (0%),,,,Tricycle/Motorcycle,No,No,No,No,No,No,MAIZE
155,KOGI,COM0024003,Yes,Yes,No,No,No,No,No,Yes,Yes,76%-100%,Decreasing,76%-100%,0.0,0.0,1.0,Foot,Yes,No,No,No,No,Yes,RICE
